26042023;pull;{deadlift:125:5_5_5_5:240},{single arm lat pulldown 2 pulleys:27:12_12_12_12:120},{seated low cable row:45:12:120},{seated low cable row:52:12:120},{seated low cable row:59:12_12:120},{dumbbell shrugs:30:16_16_16_16:120},{biceps curl dumbbell:12.5:12_12_12:120}
27042023;shoulders;{overhead press barbell:40:10_9_10_10:180},{lateral raises:10:16_16_16_16:120},{seated bent over lateral raises:7.5:18_18_18_18:120}
28042023;legs;{leg curl:41:12_12_10_10:120},{squat:70:12_12_12_12:180},{leg extension:66:12_12_12:180}
01052023;push pull;{deadlift:120:3_4_4_4:180},{single arm lat pulldown 2 pulleys:27:10_12_12_12:120},{inclined bench press:50:12_12_12_12:150}
08052023;pull;{deadlift:120:5_5_5_5:180},{single arm lat pulldown 2 pulleys:25.3:12_12_10_10:120},{seated low cable row:45:12:120},{seated bent over lateral raises:52:12_12_12:120},{biceps curl dumbbell:12.5:12_12_12:90}
09052023;push;{bench press dumbbell:26:10_9_8_7:180},{inclined bench press:55:12_10_8_8:180},{cable crossover low:18:14_14_14_14:120},{triceps pushdown:59:12_12_12_12:90}
11052023;shoulders;{overhead press barbell:40:10_12_10_7:180},{lateral raises:12.5:14_13_12_11:120},{seated bent over lateral raises:10:14_12_12_12:120}
14052023;pull;{deadlift:125:4_4_4_4:210},{single arm lat pulldown 2 pulleys:27:10_10_10_10:120},{seated low cable row:54.3:12_12_12_12:120},{dumbbell shrugs:34:12_12_12_11:60}
15052023;push;{bench press dumbbell:26:12_12_8_10:180},{inclined bench press:55:12_11_8_8:180},{cable crossover low:20.3:12_12_6:120},{cable crossover low:18:12:120},{triceps pushdown:61.3:12_12_12_12:90}
